"Date","Samsung","Apple","Huawei","Unknown","Xiaomi","Oppo","LG","Motorola","Lenovo","Nokia","Mobicel","Sony","HTC","Asus","Micromax","BBK","General Mobile","Google","ZTE","OnePlus","Alcatel","Realme","Tecno","Vivo","Lava","Infinix","Gionee","RIM","Lyf","Wiko","Vodafone","Coolpad","Itel","Vestel","Casper","AIS","Turkcell","Hisense","QMobile","LeEco","Panasonic","Meizu","True","bq","Reliance Digital","Intex","Xolo","Smartfren","InFocus","Blu","Acer","i-Mobile","Spice","Condor","Karbonn","dtac","Yu","Kyocera","Symphony","Archos","Lanix","Sharp","Turk Telecom","Caterpillar","BlackBerry","MyPhone","Neffos","Opp","Honor","Comio","HP","Infinex","Avea","Smartisan","Other"
2016-07,32.19,19.89,3.74,15.36,1.02,0.47,4.23,2.2,2.24,5.36,0,2.77,2,0.99,1.96,0.21,0.87,0.88,0.48,0.14,0.42,0,0,0,0.03,0,0.07,0.8,0,0.11,0.24,0.11,0,0.07,0.13,0.06,0.2,0.07,0,0,0,0.13,0,0.11,0,0,0,0,0.01,0,0.05,0,0.11,0,0,0,0,0.03,0,0.04,0.01,0.01,0.02,0,0,0,0,0,0,0,0.03,0,0.03,0,0.11
2016-08,32.17,20.07,3.87,15.96,0.94,0.41,4.32,2.23,2.24,5.09,0,2.66,1.98,0.95,1.95,0.18,0.9,0.68,0.47,0.13,0.4,0,0,0,0.03,0,0.07,0.68,0,0.11,0.22,0.1,0,0.07,0.13,0.07,0.2,0.06,0,0,0,0.12,0,0.12,0,0,0,0,0.01,0,0.05,0,0.1,0,0,0,0,0.03,0,0.04,0.01,0.01,0.03,0,0,0,0,0,0,0,0.03,0,0.03,0,0.1
2016-09,32.33,19.38,3.83,17.1,0.92,0.38,4.18,2.26,2.47,4.78,0,2.56,1.99,0.96,2.14,0.15,0.9,0.38,0.46,0.13,0.37,0,0,0,0.04,0,0.1,0.64,0,0.11,0.21,0.08,0,0.07,0.13,0.08,0.2,0.05,0,0,0,0.11,0,0.11,0,0,0,0,0.01,0,0.04,0,0.11,0,0,0,0,0.03,0,0.04,0.01,0,0.03,0,0,0,0,0,0,0,0.03,0,0.03,0,0.09
2016-10,32.7,19.12,3.69,16.06,1.35,0.72,4.04,2.36,2.82,4.38,0,2.39,1.91,1.04,2.1,0.3,0.94,0.37,0.49,0.15,0.35,0,0,0,0.03,0.01,0.15,0.6,0.05,0.13,0.22,0.13,0,0.1,0.16,0.09,0.21,0.04,0,0.08,0,0.1,0,0.11,0.11,0,0,0,0.01,0,0.04,0,0.1,0,0,0.01,0,0.02,0,0.04,0.01,0.02,0.03,0,0,0,0,0,0,0,0.03,0,0.03,0,0.07
2016-11,34.09,18.85,3.63,11.81,1.87,1.36,4.06,2.28,2.82,3.84,0,2.37,1.79,1.14,1.97,0.91,1.04,0.39,0.58,0.17,0.44,0,0.02,0,0.19,0.07,0.3,0.56,0.31,0.22,0.38,0.23,0,0.16,0.2,0.24,0.25,0.03,0.02,0.18,0.07,0.1,0.08,0.12,0.24,0,0,0.02,0.02,0.02,0.06,0.05,0.09,0,0,0.03,0.05,0.04,0,0.03,0.01,0.01,0.03,0,0,0,0,0,0,0,0.02,0,0.03,0,0.1
2016-12,33.63,18.89,3.68,10.31,2.11,1.63,3.89,2.19,2.91,3.57,0,2.39,1.74,1.17,2.03,1.1,0.97,0.39,0.62,0.19,0.56,0,0.14,0,0.41,0.22,0.41,0.46,0.46,0.23,0.4,0.26,0.01,0.16,0.2,0.35,0.24,0.04,0.07,0.2,0.17,0.11,0.17,0.12,0.25,0.01,0.04,0.05,0.06,0.04,0.08,0.08,0.08,0.01,0.01,0.03,0.07,0.05,0,0.03,0.02,0.01,0.03,0.01,0.01,0.01,0,0,0,0,0.02,0,0.03,0,0.16
2017-01,33.71,19.73,3.78,8.78,2.16,1.9,3.87,2.12,2.92,3.41,0,2.3,1.66,1.23,1.83,1.32,0.98,0.38,0.63,0.2,0.56,0,0.12,0,0.58,0.2,0.42,0.45,0.5,0.25,0.33,0.27,0.02,0.18,0.21,0.36,0.24,0.05,0.13,0.19,0.21,0.11,0.22,0.12,0.23,0.02,0.06,0.08,0.07,0.05,0.08,0.1,0.07,0.01,0.01,0.05,0.07,0.05,0,0.03,0.03,0.01,0.03,0.01,0.01,0.01,0,0,0,0,0.02,0,0.03,0,0.21
2017-02,33.11,19.45,3.95,8.22,2.39,2.14,3.75,2.12,3.08,3.29,0.07,2.22,1.64,1.25,1.76,1.49,0.9,0.38,0.62,0.22,0.59,0,0.36,0,0.58,0.38,0.47,0.48,0.55,0.26,0.31,0.3,0.1,0.18,0.21,0.32,0.22,0.06,0.18,0.2,0.22,0.12,0.22,0.11,0.23,0.08,0.07,0.09,0.08,0.07,0.08,0.1,0.05,0.02,0.02,0.06,0.07,0.05,0.01,0.03,0.03,0.01,0.03,0.01,0.02,0.02,0,0,0,0,0.02,0,0.02,0,0.28
2017-03,33.16,19.5,3.95,8.13,2.59,2.34,3.72,2.13,3.11,2.97,0.12,2.13,1.6,1.27,1.77,1.63,0.93,0.39,0.63,0.23,0.58,0,0.27,0,0.58,0.2,0.47,0.39,0.54,0.25,0.31,0.3,0.1,0.2,0.22,0.3,0.23,0.06,0.17,0.21,0.22,0.12,0.23,0.11,0.22,0.1,0.08,0.08,0.08,0.08,0.08,0.1,0.06,0.02,0.03,0.06,0.07,0.05,0.02,0.03,0.03,0.01,0.03,0.01,0.02,0.02,0,0,0,0,0.02,0,0.02,0,0.33
2017-04,33.02,19.87,4.15,7.79,2.77,2.51,3.64,2.11,3.07,2.69,0.25,2.11,1.56,1.29,1.62,1.66,0.92,0.36,0.64,0.26,0.58,0,0.26,0,0.66,0.2,0.45,0.35,0.49,0.28,0.3,0.29,0.1,0.21,0.23,0.36,0.22,0.05,0.16,0.2,0.2,0.12,0.26,0.12,0.18,0.09,0.07,0.08,0.08,0.08,0.08,0.12,0.05,0.03,0.04,0.08,0.06,0.04,0.02,0.03,0.03,0.01,0.03,0.01,0.02,0.02,0,0,0,0,0.02,0,0.02,0,0.34
2017-05,33.17,19.32,4.37,7.56,3.06,2.83,3.58,2.1,3.07,2.7,0.43,2.04,1.49,1.32,1.54,1.74,0.84,0.35,0.64,0.26,0.57,0,0.26,0,0.64,0.21,0.47,0.34,0.49,0.28,0.28,0.29,0.1,0.21,0.22,0.35,0.21,0.05,0.16,0.2,0.19,0.12,0.24,0.12,0.17,0.09,0.07,0.09,0.07,0.08,0.08,0.12,0.04,0.02,0.04,0.08,0.06,0.04,0.02,0.03,0.03,0.01,0.03,0.01,0.02,0.02,0,0,0,0,0.01,0,0.02,0,0.34
2017-06,33.1,19.35,4.48,7.37,3.28,2.97,3.65,2.11,3.09,2.5,0.62,1.99,1.46,1.29,1.48,1.71,0.8,0.34,0.66,0.25,0.58,0,0.28,0,0.59,0.23,0.48,0.3,0.48,0.27,0.27,0.29,0.13,0.21,0.22,0.29,0.19,0.06,0.15,0.19,0.19,0.13,0.22,0.1,0.16,0.1,0.07,0.1,0.07,0.08,0.07,0.1,0.04,0.05,0.04,0.08,0.06,0.05,0.03,0.03,0.03,0.01,0.03,0.01,0.02,0.02,0,0,0,0,0.01,0,0.02,0,0.35
2017-07,33.4,18.78,4.56,7.59,3.55,3.06,3.69,2.19,3.09,2.42,0.78,1.93,1.41,1.29,1.37,1.63,0.8,0.34,0.64,0.23,0.57,0,0.3,0,0.52,0.23,0.47,0.3,0.43,0.25,0.27,0.3,0.15,0.22,0.23,0.25,0.18,0.06,0.18,0.18,0.18,0.13,0.23,0.08,0.14,0.09,0.07,0.12,0.06,0.08,0.07,0.08,0.03,0.04,0.04,0.07,0.05,0.05,0.04,0.03,0.03,0.01,0.03,0.01,0.02,0.02,0,0,0,0,0.01,0,0.02,0,0.35
2017-08,33.12,20.32,4.7,6.97,3.58,2.98,3.82,2.29,2.91,2.2,0.9,1.86,1.38,1.2,1.23,1.51,0.8,0.33,0.66,0.23,0.58,0,0.31,0,0.48,0.23,0.44,0.28,0.37,0.25,0.28,0.28,0.16,0.22,0.24,0.22,0.18,0.06,0.17,0.17,0.16,0.12,0.21,0.1,0.12,0.09,0.06,0.11,0.06,0.08,0.06,0.08,0.03,0.04,0.04,0.06,0.04,0.05,0.03,0.03,0.04,0.01,0.03,0.02,0.02,0.02,0,0,0,0,0.01,0,0.02,0,0.35
2017-09,33.71,19.37,4.85,7.42,3.59,3.02,3.82,2.31,2.86,2.07,0.97,1.88,1.35,1.21,1.17,1.39,0.79,0.31,0.66,0.24,0.61,0,0.34,0,0.47,0.25,0.41,0.27,0.34,0.26,0.29,0.25,0.17,0.23,0.24,0.22,0.17,0.06,0.17,0.15,0.15,0.11,0.21,0.11,0.11,0.08,0.06,0.13,0.06,0.09,0.06,0.07,0.03,0.04,0.04,0.06,0.04,0.04,0.03,0.03,0.05,0.01,0.03,0.02,0.02,0.02,0.01,0,0,0,0.01,0,0.02,0,0.37
2017-10,32.63,19.99,5.06,7.48,4,3.28,3.58,2.41,2.79,2.09,1.17,1.82,1.24,1.16,1.14,1.4,0.6,0.32,0.64,0.32,0.56,0,0.37,0,0.49,0.25,0.41,0.26,0.31,0.29,0.26,0.26,0.17,0.19,0.19,0.22,0.13,0.06,0.16,0.15,0.15,0.12,0.22,0.12,0.11,0.09,0.06,0.1,0.06,0.08,0.06,0.07,0.03,0.03,0.05,0.07,0.04,0.04,0.03,0.03,0.04,0.01,0.02,0.02,0.02,0.02,0.01,0,0,0,0.01,0,0.01,0,0.36
2017-11,31.88,20.34,5.06,7.46,4.38,3.34,3.52,2.54,2.86,1.96,1.33,1.78,1.23,1.13,1.21,1.38,0.58,0.34,0.63,0.32,0.49,0,0.37,0,0.5,0.25,0.44,0.22,0.33,0.28,0.22,0.27,0.18,0.19,0.18,0.2,0.13,0.05,0.15,0.16,0.16,0.12,0.21,0.13,0.11,0.1,0.06,0.08,0.07,0.08,0.05,0.07,0.04,0.03,0.06,0.07,0.05,0.04,0.03,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0,0,0,0.01,0,0.01,0,0.35
2017-12,31.65,19.91,4.96,7.68,4.75,3.42,3.48,2.55,2.94,2,1.49,1.71,1.19,1.13,1.26,1.4,0.56,0.4,0.63,0.25,0.46,0,0.37,0,0.51,0.26,0.45,0.2,0.33,0.26,0.21,0.28,0.19,0.2,0.18,0.18,0.12,0.05,0.13,0.17,0.17,0.12,0.18,0.12,0.12,0.11,0.06,0.09,0.07,0.07,0.05,0.06,0.04,0.04,0.08,0.07,0.05,0.04,0.03,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0,0,0,0.01,0,0.01,0.01,0.35
2018-01,31.81,19.64,5.26,7.52,4.85,3.45,3.48,2.64,2.87,2.04,1.62,1.71,1.12,1.1,1.24,1.35,0.56,0.43,0.62,0.19,0.46,0,0.38,0,0.49,0.26,0.46,0.18,0.32,0.26,0.21,0.27,0.2,0.2,0.18,0.15,0.12,0.05,0.13,0.16,0.17,0.12,0.15,0.12,0.11,0.11,0.07,0.08,0.07,0.08,0.05,0.06,0.04,0.04,0.08,0.06,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0,0,0,0.01,0,0.01,0.01,0.34
2018-02,31.94,20.15,5.46,7.34,5.11,3.59,3.47,2.59,2.75,1.71,1.71,1.64,1.06,1.15,1.05,1.28,0.53,0.41,0.62,0.15,0.45,0,0.38,0,0.47,0.25,0.42,0.17,0.28,0.26,0.2,0.26,0.18,0.19,0.17,0.15,0.11,0.06,0.14,0.16,0.15,0.12,0.15,0.11,0.09,0.1,0.07,0.1,0.06,0.07,0.05,0.05,0.03,0.04,0.07,0.06,0.04,0.03,0.04,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0,0,0,0.01,0,0.01,0.01,0.33
2018-03,31.14,20.83,5.82,8.19,4.97,3.4,3.27,2.66,2.6,1.6,1.75,1.6,1.03,1.08,1.04,1.22,0.38,0.44,0.61,0.16,0.49,0,0.42,0,0.44,0.26,0.42,0.16,0.27,0.27,0.2,0.25,0.21,0.14,0.12,0.13,0.08,0.06,0.16,0.15,0.15,0.11,0.14,0.13,0.09,0.1,0.08,0.1,0.05,0.08,0.05,0.05,0.03,0.05,0.07,0.06,0.04,0.03,0.05,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.01,0,0,0,0.01,0,0.01,0.01,0.34
2018-04,30.76,19.23,6.21,7.81,6.12,3.97,3.22,2.68,2.53,1.73,1.96,1.57,0.97,1.09,1.06,1.29,0.28,0.44,0.63,0.16,0.47,0,0.53,0,0.39,0.33,0.45,0.16,0.27,0.26,0.2,0.22,0.25,0.11,0.09,0.09,0.05,0.07,0.17,0.16,0.16,0.13,0.09,0.12,0.09,0.11,0.09,0.1,0.06,0.07,0.05,0.03,0.04,0.05,0.07,0.04,0.04,0.03,0.06,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.02,0.01,0,0,0.01,0.35
2018-05,30.15,18.97,6.58,7.11,7.02,4.19,3.13,2.81,2.59,1.52,2.22,1.5,0.93,1.01,1.06,1.33,0.21,0.42,0.63,0.17,0.47,0,0.55,0,0.48,0.35,0.49,0.12,0.28,0.27,0.18,0.24,0.3,0.08,0.06,0.09,0.04,0.07,0.17,0.16,0.17,0.13,0.1,0.11,0.09,0.12,0.1,0.08,0.08,0.06,0.04,0.03,0.03,0.05,0.08,0.04,0.04,0.03,0.06,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.04,0.01,0,0,0.01,0.37
2018-06,30.66,18.91,7.01,6.68,7.02,4.12,3.23,2.88,2.45,1.44,2.28,1.46,0.91,0.91,0.91,1.24,0.26,0.43,0.64,0.15,0.49,0,0.51,0,0.52,0.36,0.46,0.11,0.24,0.27,0.16,0.22,0.31,0.1,0.08,0.08,0.05,0.06,0.23,0.15,0.16,0.13,0.1,0.09,0.07,0.1,0.1,0.05,0.08,0.06,0.03,0.03,0.03,0.08,0.07,0.04,0.04,0.03,0.06,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.04,0.01,0,0,0.01,0.41
2018-07,30.7,19.4,7.15,6.14,7.34,4.23,3.26,2.81,2.3,1.33,2.45,1.42,0.88,0.91,0.8,1.19,0.29,0.43,0.61,0.16,0.62,0,0.47,0,0.51,0.33,0.43,0.1,0.22,0.28,0.15,0.2,0.29,0.11,0.09,0.08,0.05,0.07,0.21,0.14,0.15,0.13,0.1,0.08,0.07,0.09,0.1,0.05,0.08,0.06,0.03,0.03,0.03,0.06,0.07,0.04,0.04,0.03,0.06,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.04,0.01,0,0,0.01,0.36
2018-08,30.9,20.45,7.1,5.66,7.12,4.14,3.2,2.68,2.09,1.29,2.46,1.4,0.9,0.94,0.69,1.06,0.42,0.43,0.59,0.31,0.61,0,0.46,0,0.52,0.32,0.39,0.09,0.2,0.33,0.16,0.17,0.27,0.16,0.13,0.1,0.07,0.06,0.19,0.13,0.13,0.11,0.14,0.09,0.06,0.08,0.09,0.04,0.07,0.06,0.03,0.03,0.03,0.06,0.06,0.05,0.03,0.03,0.05,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.04,0.01,0,0,0.01,0.33
2018-09,30.8,20.66,7.57,4.76,7.39,4.35,3.11,2.67,2.06,1.24,2.63,1.36,0.84,0.97,0.68,1.03,0.3,0.45,0.57,0.45,0.58,0,0.48,0,0.55,0.34,0.38,0.08,0.19,0.41,0.14,0.17,0.27,0.12,0.09,0.11,0.05,0.06,0.18,0.12,0.13,0.1,0.16,0.11,0.06,0.08,0.09,0.03,0.08,0.05,0.03,0.04,0.03,0.06,0.06,0.05,0.03,0.03,0.05,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.04,0.01,0,0,0.01,0.33
2018-10,30.07,22.34,7.37,4.81,7.26,4.14,3.12,2.78,2,1.25,2.69,1.29,0.83,0.93,0.67,0.93,0.33,0.48,0.52,0.45,0.58,0,0.45,0,0.5,0.34,0.34,0.07,0.17,0.36,0.13,0.16,0.27,0.13,0.1,0.09,0.05,0.06,0.16,0.11,0.12,0.1,0.14,0.1,0.05,0.08,0.08,0.03,0.07,0.05,0.03,0.03,0.03,0.06,0.05,0.04,0.03,0.03,0.05,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0,0,0.04,0.01,0,0,0.01,0.32
2018-11,28.34,24.44,6.31,5.27,7.83,4.23,3.07,3.02,2.15,1.29,3.42,0.84,0.83,0.67,0.76,0.85,0.33,0.51,0.44,0.34,0.37,0,0.47,0,0.53,0.3,0.35,0.07,0.17,0.27,0.11,0.16,0.3,0.07,0.04,0.08,0.06,0.04,0.14,0.09,0.13,0.08,0.1,0.06,0.05,0.09,0.07,0.03,0.06,0.04,0.02,0.02,0.04,0.07,0.06,0.03,0.03,0.02,0.05,0.02,0.02,0.01,0,0.01,0.01,0.01,0.02,0,0,0.05,0.01,0,0,0.01,0.24
